,Area,Job_title,Company,Experience,Salary,Location,Description,Tag assosiated,Posting_date
570,Secretary Jobs,Secretary To MD - Pharma,RNM Consultants,5-10 Yrs,Not disclosed,"Mumbai, Lower Parel", Self correspondence on various matters .Screening emails-reply to emailsArranging meeti...,"Executive Assistant, Secretary, Meeting, Secretarial Activities, Secretarial Operations, Correspondence, Travel Booking, Booking",10 Days Ago
571,Corporate Planning Jobs,Manager -  Corporate Planning & Strategy,A2Z INFRA ENGINEERING LIMITED,5-10 Yrs,Not disclosed,Gurgaon, Coordinating and integrating unit activities so they conform to organizational strategi...,"New, distinctive, Corporate, Developing, competencies, Planning, Entries",30+ Days Ago
572,Corporate Planning Jobs,Corporate Planning / Strategy Mgr,Salient HR Management Pvt. Ltd.,6-13 Yrs,Not disclosed,"Delhi, Bhopal, Indore, Gwalior"," Sr. Manager - Six Sigma No of opening: Location: Bhopal , Delhi , Gwalior , Indore Educ...","Retail, Education, Consulting, Corporate planning, Six sigma",30+ Days Ago
573,Corporate Planning Jobs,Business Analyst-strategist- Pharmaceutical Industry-corporate Plan,M/S Global Tech Solutions,3-5 Yrs,"15,00,000 - 20,00,000 PA.","Bengaluru, Hyderabad"," 1.Provide support to CEO in steering key organisation projects, digital & strategic tra...","digital initiatives, pharmaceutical industry, strategic business process modelling, corporate planning, financial due diligence, finance modelling, competitive intelligence, business intelligence",15 Days Ago
574,Corporate Planning Jobs,Required Quality Assurance and Analys For  Canada,Genuine Immigration Service,3-8 Yrs,"50,000 - 70,000 PA.","Canada, Australia", Quality assurance Manager and Analyst are in high demand in Canadian Employers. If you ...,"management consulting, six sigma consultant, iso internal control, iso coordinator, corporate planning, iso operational risk, iso internal auditor, business consulting",12 Days Ago
575,Corporate Planning Jobs,Strategy Head Role!!,Bliss GVS Pharma Ltd.,20-30 Yrs,Not disclosed,Mumbai, Proficient in managing business operations encompassing customer relationship managemen...,"Business Strategy, Market Penetration, International Marketing, Strategic Management, New Market Development, Strategic Marketing, Compitit, Strategic Planning",19 Days Ago
576,Corporate Planning Jobs,EA to Director - Hospet,Busisol Sourcing (India) Pvt. Ltd.,3-5 Yrs,Not disclosed,Hospet, Corporate Planning Strategic and annual business planning; financial analysis to back k...,"ERP, Business analysis, Financial analysis, Analytical, Corporate planning, Business planning, Financial modelling, Secondary research",30+ Days Ago
577,Corporate Planning Jobs,EA to Director,Busisol Sourcing (India) Pvt. Ltd.,3-5 Yrs,Not disclosed,Hospet," : Position: Executive Assistant to Director Vacancies: 4 Location: Corp. Office, Hospet...","Mining, ERP, Business analysis, Financial analysis, Analytical, Corporate planning, Financial modelling, Secondary research",30+ Days Ago
578,Corporate Planning Jobs,Executive Assistant to Director,Busisol Sourcing (India) Pvt. Ltd.,3-5 Yrs,Not disclosed,Hospet," : Position: Executive Assistant to Director Vacancies: 4 Location: Corp. Office, Hospet...","Mining, ERP, Business analysis, Financial analysis, Analytical, Corporate planning, Financial modelling, Secondary research",30+ Days Ago
579,Corporate Planning Jobs,Business Analyst - Strategic Planning,Sarthee Consultancy,2-5 Yrs,Not disclosed,Mumbai, Business Analyst - Strategic Planning Location : Mumbai Job Requirement : BE / B.Tech C...,"Chemical, Business Analyst, Strategic planning, Business planning, Corporate planning, Business intelligence, Analytics",30+ Days Ago
580,Corporate Planning Jobs,Customer Relation Manager,Shri Krishna Industries,1-3 Yrs,Not disclosed,"Navi Mumbai, Mumbai"," Develop Maintain Customer Relation, Managing Field Staff, Follow-up Customer, Delivry M...","Printing, Strategic management, Delivery management, Payment collection, Translation, Field Staff, Management consulting, Corporate planning",30+ Days Ago
581,Corporate Planning Jobs,Manager- Planning & Strategy,Voyants Solutions (P)Ltd.,3-8 Yrs,Not disclosed,Gurgaon, Experience 3- 8 years Location Gurugram Qualification BE(Civil)/ Masters in Infrastruct...,"Civil, Infrastructure management, MIS, Corporate planning, Business strategy, Management, Monitoring",30+ Days Ago
582,Corporate Planning Jobs,EPC Job openings - Strategy Manager,Right Step Consulting,5-10 Yrs,Not disclosed,Noida," Must have ability to multi- task;) Masters in Business Administration (Finance, Strateg...","Staffing, Time management, Consulting, Management consulting, Corporate planning, EPC, PHP, HTTP",30+ Days Ago
583,Corporate Planning Jobs,Senior Research Analyst- Clinical Research,Right Step Consulting,2-5 Yrs,Not disclosed,Noida, Must bring fresh ideas to scale up the process;Must know about their domain;Additional ...,"Strategic management, Training, Computer skills, Consulting, Management consulting, Corporate planning, Clinical research, Senior Research Analyst",30+ Days Ago
584,Corporate Planning Jobs,Research Analyst in Noida,Right Step Consulting,2-5 Yrs,Not disclosed,Noida, Additional Information: Salary: Not Disclosed by Recruiter Industry:Pharma / Biotech / ...,"English, Business Analyst, Pharma, Consulting, Management consulting, Corporate planning, Market research, Clinical research",30+ Days Ago
585,Corporate Planning Jobs,EPC Manager - Strategy,Right Step Consulting,7-10 Yrs,Not disclosed,Noida, Understand the client requirements and develop effective proposals and any other collat...,"Strategic management, Staffing, Consulting, Management consulting, Construction engineering, Corporate planning, EPC, PHP",30+ Days Ago
586,Corporate Planning Jobs,Strategic Management,Doon Business School,3-8 Yrs,Not disclosed,Dehradun," Strategic Management In depth knowledge in Dimension and Levels of Strategy, Corporate ...","Strategic management, Portfolio analysis, Strategic planning, Corporate planning",30+ Days Ago
587,Corporate Planning Jobs,Executive Assistant To Executive President/director,Dr. Vishwanath Karad MIT World Peace University,4-9 Yrs,"8,00,000 - 15,00,000 PA.",Pune(Kothrud), Looking for Male Candidate Candidate should have full time MBA degree from premier inst...,"Executive Assistant, Strategic Adviser, corporate planning, business strategy, business planning, Strategic Planning, corporate strategy, Business Analysis",30+ Days Ago
588,Corporate Planning Jobs,Corporate Strategy For Kolkata,Salasar Services Insurance Brokers Private Limited,5-10 Yrs,Not disclosed,Kolkata, Should not only be restricted to devising but also follow the implications and Monitori...,"Corporate Strategy, Business Strategy, corporate planning, strategy planning, Data Analysis, strategic planning",30+ Days Ago
589,Corporate Planning Jobs,"Business Manager, Management Consultant Jobs Through PR Visa in Canada",AANDC Immigration Pvt Ltd,2-7 Yrs,"25,00,000 - 40,00,000 PA.","Bengaluru, Canada, Kolkata", May supervise clerical staff *A bachelors degree or college diploma in business adminis...,"management consulting, business functional consultant, senior business manager, operations management, business management, manager corporate planning, supply chain analyst, iso consultant",19 Days Ago
590,Corporate Planning Jobs,Hiring For Financial Investor or Merger & Acquisition (m&a) Consultant,ANRI SOLUTIONS HR SERVICES PVT LTD,2-7 Yrs,"15,00,000 - 27,50,000 PA.",Bengaluru," As an Consultant, you will be responsible for supporting Merger & Acquisition M&A, due ...","proposal development, strategy planning, company valuation, m&a, business development, mergers, growth strategy, primary research",3 Days Ago
591,Site Engineering Jobs,Site Engineer - Construction Projects,Mistin Solution,0-3 Yrs,Not disclosed,Coimbatore, Must be flexible to accept challenging assignments that may be periodically assigned by...,"Civil Drawing, Civil Engineering, Civil Design, Site Engineering, Site Operations",2 Days Ago
